Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Class
10.42.0.211-31.13.71.7-49076-443-6,10.42.0.211,49076.0,31.13.71.7,443.0,6.0,04/08/2017 03:09:02,8805.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.8591709256104,2201.25,2185.5825119785954,4314.0,51.0,8805.0,2201.25,2185.5825119785954,4314.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,567.8591709256104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3702.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
10.42.0.211-77.234.41.79-44050-443-6,77.234.41.79,443.0,10.42.0.211,44050.0,6.0,12/07/2017 12:44:16,10407802.0,2.0,4.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,7.75,15.500000000000002,2.9785347569064053,0.5764905981109172,2081560.4,4512949.513044468,10153603.0,371.0,10407802.0,10407802.0,0.0,10407802.0,10407802.0,10154462.0,3384820.666666667,5861937.453645879,10153603.0,371.0,0.0,0.0,0.0,0.0,52.0,140.0,0.192163532703639,0.3843270654072781,0.0,31.0,4.428571428571429,11.716898663286043,137.2857142857143,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,2.0,5.166666666666667,0.0,7.75,52.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,31.0,1.0,1595.0,0.0,20.0,169448.0,0.0,169448.0,169448.0,10153603.0,0.0,10153603.0,10153603.0,Keylogger
10.42.0.211-64.71.142.125-58548-443-6,10.42.0.211,58548.0,64.71.142.125,443.0,6.0,04/08/2017 10:44:24,36.0,1.0,1.0,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,861111.1111111111,55555.55555555556,36.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,20.0,27777.777777777777,27777.777777777777,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,31.0,31.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,1.0,0.0,33.0,33.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
10.42.0.211-77.234.41.79-45494-443-6,10.42.0.211,45494.0,77.234.41.79,443.0,6.0,12/07/2017 03:58:18,66743.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.9485339286517,33371.5,638.5174234114525,33823.0,32920.0,33823.0,33823.0,0.0,33823.0,33823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.0,29.9656892857678,14.9828446428839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1595.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Keylogger
172.217.10.237-10.42.0.42-443-39735-6,10.42.0.42,39735.0,172.217.10.237,443.0,6.0,05/08/2017 10:06:26,4162.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.5382027871216,4162.0,0.0,4162.0,4162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,240.2691013935608,240.2691013935608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1681.0,370.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
10.42.0.211-64.71.142.124-54514-443-6,10.42.0.211,54514.0,64.71.142.124,443.0,6.0,30/06/2017 04:09:08,14543416.0,16.0,16.0,2722.0,6946.0,609.0,0.0,170.125,261.0261481155,1460.0,0.0,434.125,530.4638064939,664.7681672586,2.2003083732,469142.451612903,1396400.4457806,6684350.0,2.0,14543416.0,969561.066666667,1921854.34842749,6684350.0,24.0,14449579.0,963305.266666667,1959551.68688761,6799352.0,2.0,0.0,0.0,0.0,0.0,352.0,332.0,1.1001541866,1.1001541866,0.0,1460.0,292.9696969697,428.9878702283,184030.59280303,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,302.125,170.125,434.125,352.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2722.0,16.0,6946.0,65535.0,40.0,6.0,20.0,1691855.0,0.0,1691855.0,1691855.0,6684350.0,0.0,6684350.0,6684350.0,Keylogger
172.217.12.202-10.42.0.211-443-38833-6,10.42.0.211,38833.0,172.217.12.202,443.0,6.0,30/06/2017 11:47:37,867332.0,2.0,0.0,62.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,71.48358414079038,2.305922069057754,867332.0,0.0,867332.0,867332.0,867332.0,867332.0,0.0,867332.0,867332.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,0.0,2.305922069057754,0.0,31.0,31.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,46.5,31.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,62.0,0.0,0.0,1770.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Keylogger
172.217.10.227-10.42.0.151-443-40721-6,10.42.0.151,40721.0,172.217.10.227,443.0,6.0,05/08/2017 10:19:08,10081704.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3967583257750872,3360568.0,5786798.196816008,10042557.0,2235.0,39147.0,39147.0,0.0,39147.0,39147.0,10044792.0,10044792.0,0.0,10044792.0,10044792.0,0.0,0.0,0.0,0.0,72.0,72.0,0.1983791628875436,0.1983791628875436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,65535.0,332.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.217.9.227-10.42.0.151-443-44751-6,10.42.0.151,44751.0,172.217.9.227,443.0,6.0,05/08/2017 11:14:52,576458.0,3.0,0.0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0.0,0.0,0.0,0.0,53.77668451127402,5.204195275284582,288229.0,407198.7536547724,576162.0,296.0,576458.0,288229.0,407198.7536547724,576162.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,5.204195275284582,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,10.333333333333334,10.333333333333334,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0,0.0,0.0,1635.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.217.6.237-10.42.0.151-443-50421-6,172.217.6.237,443.0,10.42.0.151,50421.0,6.0,05/08/2017 05:02:57,43.0,2.0,0.0,55.0,0.0,55.0,0.0,27.5,38.89087296526012,0.0,0.0,0.0,0.0,1279069.7674418604,46511.62790697674,43.0,0.0,43.0,43.0,43.0,43.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,0.0,46511.62790697674,0.0,0.0,55.0,36.66666666666667,31.75426480542941,1008.3333333333331,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,55.0,27.5,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,55.0,0.0,0.0,185.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
